White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"Michalik, P","Navara, D",0-1,2.1,"Jul 30, 2020","E51 Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5",,,,,,
"Nguyen, T","Laznicka, V",1-0,1.1,"Jul 28, 2020","C10 French, Paulsen variation",,,,,,
"Michalik, P","Navara, D",½-½,1.1,"Jul 28, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Laznicka, V","Nguyen, T",1-0,2.1,"Jul 29, 2020",A13 English opening,,,,,,
"Navara, D","Michalik, P",0-1,2.1,"Jul 29, 2020",C50 King's pawn game,,,,,,
"Nguyen, T","Laznicka, V",½-½,3.1,"Jul 31, 2020","C10 French, Paulsen variation",,,,,,
"Michalik, P","Navara, D",½-½,3.1,"Jul 31, 2020",E20 Nimzo-Indian defence,,,,,,
"Laznicka, V","Nguyen, T",½-½,4.1,"Aug 01, 2020",D00 Queen's pawn game,,,,,,
"Navara, D","Michalik, P",½-½,4.1,"Aug 01, 2020","E34 Nimzo-Indian, classical, Noa variation",,,,,,
"Hracek, Z","Mica, M",1-0,1.1,"Jul 28, 2020",D02 Queen's pawn game,,,,,,
"Stocek, J","Worek, J",1-0,1.1,"Jul 28, 2020","D53 Queen's Gambit Declined, 4.Bg5 Be7",,,,,,
"Babula, V","Stalmach, R",½-½,1.1,"Jul 28, 2020","E92 King's Indian, classical variation",,,,,,
"Movsesian, S","Sikorova, O",1-0,1.1,"Jul 28, 2020","E71 King's Indian, Makagonov system (5.h3)",,,,,,
"Vojta, J","Hracek, Z",0-1,1.2,"Jul 28, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Pilsova, K","Stocek, J",½-½,1.2,"Jul 28, 2020","B90 Sicilian, Najdorf",,,,,,
"Frank, A","Babula, V",0-1,1.2,"Jul 28, 2020",B32 Sicilian defence,,,,,,
"Miturova, M","Movsesian, S",½-½,1.2,"Jul 28, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Hracek, Z","Kusa, J",½-½,1.3,"Jul 28, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Stocek, J","Petrova, K",1-0,1.3,"Jul 28, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Babula, V","Nemec, J",1-0,1.3,"Jul 28, 2020",A06 Reti opening,,,,,,
"Movsesian, S","Novosadova, K",1-0,1.3,"Jul 28, 2020","C63 Ruy Lopez, Schliemann defence",,,,,,
"Brozka, K","Hracek, Z",0-1,1.4,"Jul 28, 2020","E31 Nimzo-Indian, Leningrad, main line",,,,,,
"Richterova, N","Stocek, J",0-1,1.4,"Jul 28, 2020",C50 King's pawn game,,,,,,
"Smolik, J","Babula, V",0-1,1.4,"Jul 28, 2020","B23 Sicilian, closed",,,,,,
"Rodshtein, T","Movsesian, S",0-1,1.4,"Jul 28, 2020",B32 Sicilian defence,,,,,,
"Worek, J","Hracek, Z",½-½,2.1,"Jul 29, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Stalmach, R","Stocek, J",0-1,2.1,"Jul 29, 2020","E44 Nimzo-Indian, Fischer variation, 5.Ne2",,,,,,
"Sikorova, O","Babula, V",½-½,2.1,"Jul 29, 2020",A20 English opening,,,,,,
"Mica, M","Movsesian, S",0-1,2.1,"Jul 29, 2020","E51 Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5",,,,,,
"Hracek, Z","Pilsova, K",1-0,2.2,"Jul 29, 2020",A45 Queen's pawn game,,,,,,
"Stocek, J","Frank, A",0-1,2.2,"Jul 29, 2020","E70 King's Indian, 4.e4",,,,,,
"Babula, V","Miturova, M",1-0,2.2,"Jul 29, 2020",E11 Bogo-Indian defence,,,,,,
"Movsesian, S","Vojta, J",1-0,2.2,"Jul 29, 2020","B23 Sicilian, closed",,,,,,
"Petrova, K","Hracek, Z",½-½,2.3,"Jul 29, 2020","A28 English, four knights system",,,,,,
"Nemec, J","Stocek, J",0-1,2.3,"Jul 29, 2020",A58 Benko gambit accepted,,,,,,
"Novosadova, K","Babula, V",0-1,2.3,"Jul 29, 2020","B80 Sicilian, Scheveningen variation",,,,,,
"Kusa, J","Movsesian, S",0-1,2.3,"Jul 29, 2020",B40 Sicilian defence,,,,,,
"Hracek, Z","Richterova, N",1-0,2.4,"Jul 29, 2020","B05 Alekhine's defence, modern variation, 4...Bg4",,,,,,
"Stocek, J","Smolik, J",1-0,2.4,"Jul 29, 2020",B40 Sicilian defence,,,,,,
"Babula, V","Rodshtein, T",1-0,2.4,"Jul 29, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Movsesian, S","Brozka, K",1-0,2.4,"Jul 29, 2020",A10 English opening,,,,,,
"Haba, P","Stalmach, R",1-0,3.1,"Jul 31, 2020","A48 King's Indian, East Indian defence",,,,,,
"Stocek, J","Sikorova, O",1-0,3.1,"Jul 31, 2020","E70 King's Indian, 4.e4",,,,,,
"Babula, V","Mica, M",0-1,3.1,"Jul 31, 2020",A61 Benoni defence,,,,,,
"Movsesian, S","Worek, J",½-½,3.1,"Jul 31, 2020","C10 French, Paulsen variation",,,,,,
"Frank, A","Haba, P",0-1,3.2,"Jul 31, 2020","C07 French, Tarrasch, open variation",,,,,,
"Miturova, M","Stocek, J",0-1,3.2,"Jul 31, 2020",A41 Queen's Pawn,,,,,,
"Vojta, J","Babula, V",0-1,3.2,"Jul 31, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Pilsova, K","Movsesian, S",0-1,3.2,"Jul 31, 2020",A53 Old Indian defence,,,,,,
"Haba, P","Nemec, J",1-0,3.3,"Jul 31, 2020",D02 Queen's pawn game,,,,,,
"Stocek, J","Novosadova, K",0-1,3.3,"Jul 31, 2020",D00 Queen's pawn game,,,,,,
"Babula, V","Kusa, J",½-½,3.3,"Jul 31, 2020","E71 King's Indian, Makagonov system (5.h3)",,,,,,
"Movsesian, S","Petrova, K",½-½,3.3,"Jul 31, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Smolik, J","Haba, P",1-0,3.4,"Jul 31, 2020",D04 Queen's pawn game,,,,,,
"Rodshtein, T","Stocek, J",0-1,3.4,"Jul 31, 2020","B74 Sicilian, dragon, classical, 9.Nb3",,,,,,
"Brozka, K","Babula, V",½-½,3.4,"Jul 31, 2020","E30 Nimzo-Indian, Leningrad variation",,,,,,
"Richterova, N","Movsesian, S",0-1,3.4,"Jul 31, 2020",A50 Queen's pawn game,,,,,,
"Sikorova, O","Haba, P",½-½,4.1,"Aug 01, 2020",A20 English opening,,,,,,
"Mica, M","Stocek, J",½-½,4.1,"Aug 01, 2020","A18 English, Mikenas-Carls variation",,,,,,
"Worek, J","Babula, V",½-½,4.1,"Aug 01, 2020","B88 Sicilian, Sozin, Leonhardt variation",,,,,,
"Stalmach, R","Movsesian, S",½-½,4.1,"Aug 01, 2020","E58 Nimzo-Indian, 4.e3, main line with 8...Bxc3",,,,,,
"Haba, P","Miturova, M",½-½,4.2,"Aug 01, 2020","E01 Catalan, closed",,,,,,
"Stocek, J","Vojta, J",1-0,4.2,"Aug 01, 2020",D20 Queen's gambit accepted,,,,,,
"Babula, V","Pilsova, K",1-0,4.2,"Aug 01, 2020",A06 Reti opening,,,,,,
"Movsesian, S","Frank, A",1-0,4.2,"Aug 01, 2020","E69 King's Indian, fianchetto, classical main line",,,,,,
"Novosadova, K","Haba, P",0-1,4.3,"Aug 01, 2020","C18 French, Winawer, advance variation",,,,,,
"Kusa, J","Stocek, J",½-½,4.3,"Aug 01, 2020",B06 Robatsch (modern) defence,,,,,,
"Petrova, K","Babula, V",0-1,4.3,"Aug 01, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Nemec, J","Movsesian, S",0-1,4.3,"Aug 01, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Haba, P","Rodshtein, T",½-½,4.4,"Aug 01, 2020","B76 Sicilian, dragon, Yugoslav attack, 7...O-O",,,,,,
"Stocek, J","Brozka, K",1-0,4.4,"Aug 01, 2020",A10 English opening,,,,,,
"Babula, V","Richterova, N",½-½,4.4,"Aug 01, 2020",A06 Reti opening,,,,,,
"Movsesian, S","Smolik, J",1-0,4.4,"Aug 01, 2020","B43 Sicilian, Kan, 5.Nc3",,,,,,
"Okhotnik, V","Kukelko, A",0-1,1.1,"Jul 27, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Sodol, G","Malakhatko, V",1-0,1.2,"Jul 27, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Borsuk, K","Mirzoev, E",0-1,1.3,"Jul 27, 2020","E32 Nimzo-Indian, classical variation",,,,,,
"Legky, N","Baidetskyi, V",0-1,1.4,"Jul 27, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Zhukova, N","Kislinsky, A",0-1,1.5,"Jul 27, 2020",A40 Queen's pawn,,,,,,
"Kukelko, A","Kislinsky, A",½-½,2.1,"Jul 28, 2020","B34 Sicilian, accelerated fianchetto, exchange variation",,,,,,
"Baidetskyi, V","Zhukova, N",½-½,2.2,"Jul 28, 2020",A45 Queen's pawn game,,,,,,
"Mirzoev, E","Legky, N",1-0,2.3,"Jul 28, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Malakhatko, V","Borsuk, K",1-0,2.4,"Jul 28, 2020","E18 Queen's Indian, old main line, 7.Nc3",,,,,,
"Okhotnik, V","Sodol, G",0-1,2.5,"Jul 28, 2020",A17 English opening,,,,,,
"Sodol, G","Kukelko, A",½-½,3.1,"Jul 29, 2020","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Borsuk, K","Okhotnik, V",0-1,3.2,"Jul 29, 2020",A41 Queen's Pawn,,,,,,
"Legky, N","Malakhatko, V",½-½,3.3,"Jul 29, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Zhukova, N","Mirzoev, E",½-½,3.4,"Jul 29, 2020","D87 Gruenfeld, exchange, Spassky variation",,,,,,
"Kislinsky, A","Baidetskyi, V",0-1,3.5,"Jul 29, 2020",C70 Ruy Lopez,,,,,,
"Kukelko, A","Baidetskyi, V",1-0,4.1,"Jul 30, 2020","C03 French, Tarrasch",,,,,,
"Mirzoev, E","Kislinsky, A",½-½,4.2,"Jul 30, 2020",A58 Benko gambit accepted,,,,,,
"Malakhatko, V","Zhukova, N",½-½,4.3,"Jul 30, 2020",A13 English opening,,,,,,
"Okhotnik, V","Legky, N",½-½,4.4,"Jul 30, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Sodol, G","Borsuk, K",1-0,4.5,"Jul 30, 2020","C16 French, Winawer, advance variation",,,,,,
"Borsuk, K","Kukelko, A",½-½,5.1,"Jul 31, 2020",E10 Queen's pawn game,,,,,,
"Legky, N","Sodol, G",0-1,5.2,"Jul 31, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Zhukova, N","Okhotnik, V",1-0,5.3,"Jul 31, 2020","A29 English, four knights, kingside fianchetto",,,,,,
"Kislinsky, A","Malakhatko, V",½-½,5.4,"Jul 31, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Baidetskyi, V","Mirzoev, E",½-½,5.5,"Jul 31, 2020","D91 Gruenfeld, 5.Bg5",,,,,,
"Kukelko, A","Mirzoev, E",0-1,6.1,"Aug 01, 2020","B94 Sicilian, Najdorf, 6.Bg5",,,,,,
"Malakhatko, V","Baidetskyi, V",1-0,6.2,"Aug 01, 2020","E97 King's Indian, orthodox, Aronin-Taimanov variation (Yugoslav attack / Mar del Plata variation)",,,,,,
"Okhotnik, V","Kislinsky, A",0-1,6.3,"Aug 01, 2020",A05 Reti opening,,,,,,
"Sodol, G","Zhukova, N",1-0,6.4,"Aug 01, 2020",C25 Vienna game,,,,,,
"Borsuk, K","Legky, N",½-½,6.5,"Aug 01, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Legky, N","Kukelko, A",0-1,7.1,"Aug 02, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Zhukova, N","Borsuk, K",½-½,7.2,"Aug 02, 2020",E12 Queen's Indian defence,,,,,,
"Kislinsky, A","Sodol, G",0-1,7.3,"Aug 02, 2020",C42 Petrov's defence,,,,,,
"Baidetskyi, V","Okhotnik, V",0-1,7.4,"Aug 02, 2020",B10 Caro-Kann defence,,,,,,
"Mirzoev, E","Malakhatko, V",½-½,7.5,"Aug 02, 2020","D27 Queen's Gambit Accepted, classical, 6...a6",,,,,,
"Kukelko, A","Malakhatko, V",½-½,8.1,"Aug 03, 2020","B42 Sicilian, Kan, 5.Bd3",,,,,,
"Okhotnik, V","Mirzoev, E",0-1,8.2,"Aug 03, 2020","C02 French, advance variation",,,,,,
"Sodol, G","Baidetskyi, V",1-0,8.3,"Aug 03, 2020",C41 Philidor's defence,,,,,,
"Borsuk, K","Kislinsky, A",½-½,8.4,"Aug 03, 2020",A57 Benko gambit,,,,,,
"Legky, N","Zhukova, N",½-½,8.5,"Aug 03, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Zhukova, N","Kukelko, A",1-0,9.1,"Aug 04, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Kislinsky, A","Legky, N",1-0,9.2,"Aug 04, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Baidetskyi, V","Borsuk, K",½-½,9.3,"Aug 04, 2020",A45 Queen's pawn game,,,,,,
"Mirzoev, E","Sodol, G",½-½,9.4,"Aug 04, 2020",A13 English opening,,,,,,
"Malakhatko, V","Okhotnik, V",½-½,9.5,"Aug 04, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Harikrishna, P","Studer, N",½-½,1.1,"Jul 25, 2020","A29 English, four knights, kingside fianchetto",,,,,,
"Keymer, V","Edouard, R",1-0,1.2,"Jul 25, 2020",A04 Reti opening,,,,,,
"Wojtaszek, R","Anton Guijarro, D",½-½,1.3,"Jul 25, 2020",A80 Dutch,,,,,,
"Adams, M","Naiditsch, A",1-0,1.4,"Jul 25, 2020",B30 Sicilian defence,,,,,,
"Studer, N","Harikrishna, P",0-1,2.1,"Jul 25, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Edouard, R","Keymer, V",1-0,2.2,"Jul 25, 2020",D43 Queen's Gambit Declined semi-Slav,,,,,,
"Anton Guijarro, D","Wojtaszek, R",½-½,2.3,"Jul 25, 2020",A06 Reti opening,,,,,,
"Naiditsch, A","Adams, M",0-1,2.4,"Jul 25, 2020","C69 Ruy Lopez, exchange variation, 5.O-O",,,,,,
"Studer, N","Naiditsch, A",1-0,3.1,"Jul 25, 2020",E11 Bogo-Indian defence,,,,,,
"Anton Guijarro, D","Adams, M",0-1,3.2,"Jul 25, 2020",A06 Reti opening,,,,,,
"Edouard, R","Wojtaszek, R",0-1,3.3,"Jul 25, 2020","A29 English, four knights, kingside fianchetto",,,,,,
"Harikrishna, P","Keymer, V",½-½,3.4,"Jul 25, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Naiditsch, A","Studer, N",1-0,4.1,"Jul 25, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Adams, M","Anton Guijarro, D",1-0,4.2,"Jul 25, 2020",C50 King's pawn game,,,,,,
"Wojtaszek, R","Edouard, R",1-0,4.3,"Jul 25, 2020","A79 Benoni, classical, 11.f3",,,,,,
"Keymer, V","Harikrishna, P",0-1,4.4,"Jul 25, 2020",A06 Reti opening,,,,,,
"Keymer, V","Studer, N",0-1,5.1,"Jul 25, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Wojtaszek, R","Harikrishna, P",1-0,5.2,"Jul 25, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Adams, M","Edouard, R",1-0,5.3,"Jul 25, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Naiditsch, A","Anton Guijarro, D",0-1,5.4,"Jul 25, 2020","C69 Ruy Lopez, exchange variation, 5.O-O",,,,,,
"Studer, N","Keymer, V",0-1,6.1,"Jul 25, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Harikrishna, P","Wojtaszek, R",½-½,6.2,"Jul 25, 2020","A28 English, four knights system",,,,,,
"Edouard, R","Adams, M",0-1,6.3,"Jul 25, 2020","A28 English, four knights system",,,,,,
"Anton Guijarro, D","Naiditsch, A",½-½,6.4,"Jul 25, 2020","A48 King's Indian, East Indian defence",,,,,,
"Studer, N","Anton Guijarro, D",0-1,7.1,"Jul 25, 2020","A88 Dutch, Leningrad, main variation with c6",,,,,,
"Edouard, R","Naiditsch, A",0-1,7.2,"Jul 25, 2020","E91 King's Indian, 6.Be2",,,,,,
"Harikrishna, P","Adams, M",0-1,7.3,"Jul 25, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Keymer, V","Wojtaszek, R",½-½,7.4,"Jul 25, 2020",A06 Reti opening,,,,,,
"Anton Guijarro, D","Studer, N",½-½,8.1,"Jul 25, 2020",D02 Queen's pawn game,,,,,,
"Naiditsch, A","Edouard, R",1-0,8.2,"Jul 25, 2020",B30 Sicilian defence,,,,,,
"Adams, M","Harikrishna, P",½-½,8.3,"Jul 25, 2020",B30 Sicilian defence,,,,,,
"Wojtaszek, R","Keymer, V",½-½,8.4,"Jul 25, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Wojtaszek, R","Studer, N",1-0,9.1,"Jul 25, 2020","A28 English, four knights system",,,,,,
"Adams, M","Keymer, V",1-0,9.2,"Jul 25, 2020",B10 Caro-Kann defence,,,,,,
"Naiditsch, A","Harikrishna, P",1-0,9.3,"Jul 25, 2020","C69 Ruy Lopez, exchange variation, 5.O-O",,,,,,
"Anton Guijarro, D","Edouard, R",½-½,9.4,"Jul 25, 2020",A06 Reti opening,,,,,,
"Studer, N","Wojtaszek, R",0-1,10.1,"Jul 25, 2020","E15 Queen's Indian, 4.g3",,,,,,
"Keymer, V","Adams, M",0-1,10.2,"Jul 25, 2020",A06 Reti opening,,,,,,
"Harikrishna, P","Naiditsch, A",0-1,10.3,"Jul 25, 2020","A48 King's Indian, East Indian defence",,,,,,
"Edouard, R","Anton Guijarro, D",0-1,10.4,"Jul 25, 2020","A27 English, three knights system",,,,,,
"Studer, N","Edouard, R",0-1,11.1,"Jul 25, 2020",A40 Queen's pawn,,,,,,
"Harikrishna, P","Anton Guijarro, D",0-1,11.2,"Jul 25, 2020",A80 Dutch,,,,,,
"Keymer, V","Naiditsch, A",1-0,11.3,"Jul 25, 2020",E11 Bogo-Indian defence,,,,,,
"Wojtaszek, R","Adams, M",½-½,11.4,"Jul 25, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Edouard, R","Studer, N",0-1,12.1,"Jul 25, 2020","A29 English, four knights, kingside fianchetto",,,,,,
"Anton Guijarro, D","Harikrishna, P",0-1,12.2,"Jul 25, 2020","A12 English, Caro-Kann defensive system",,,,,,
"Naiditsch, A","Keymer, V",1-0,12.3,"Jul 25, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Adams, M","Wojtaszek, R",0-1,12.4,"Jul 25, 2020","B90 Sicilian, Najdorf",,,,,,
"Adams, M","Studer, N",0-1,13.1,"Jul 25, 2020",C42 Petrov's defence,,,,,,
"Naiditsch, A","Wojtaszek, R",0-1,13.2,"Jul 25, 2020",B50 Sicilian,,,,,,
"Anton Guijarro, D","Keymer, V",1-0,13.3,"Jul 25, 2020",A06 Reti opening,,,,,,
"Edouard, R","Harikrishna, P",1-0,13.4,"Jul 25, 2020",D20 Queen's gambit accepted,,,,,,
"Studer, N","Adams, M",0-1,14.1,"Jul 25, 2020",E10 Queen's pawn game,,,,,,
"Wojtaszek, R","Naiditsch, A",1-0,14.2,"Jul 25, 2020",E11 Bogo-Indian defence,,,,,,
"Keymer, V","Anton Guijarro, D",0-1,14.3,"Jul 25, 2020",A04 Reti opening,,,,,,
"Harikrishna, P","Edouard, R",1-0,14.4,"Jul 25, 2020",B50 Sicilian,,,,,,
"Hove, E","Vesterli, M",1-0,1.1,"Jul 22, 2020","A49 King's Indian, fianchetto without c4",,,,,,
"Akdag, D","Heimisson, H",0-1,1.2,"Jul 22, 2020",A02 Bird's opening,,,,,,
"Nielsen, V","Jepson, C",½-½,1.3,"Jul 22, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Brynell, S","Vinter Schou, U",½-½,1.4,"Jul 22, 2020","A79 Benoni, classical, 11.f3",,,,,,
"Ingebretsen, J","Brondt, N",½-½,1.5,"Jul 22, 2020",B44 Sicilian defence,,,,,,
"Heimisson, H","Nielsen, V",1-0,2.1,"Jul 23, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Vesterli, M","Brondt, N",0-1,2.2,"Jul 23, 2020",D00 Queen's pawn game,,,,,,
"Vinter Schou, U","Ingebretsen, J",1-0,2.3,"Jul 23, 2020","C48 Four knights, Spanish variation",,,,,,
"Hove, E","Akdag, D",1-0,2.4,"Jul 23, 2020",A46 Queen's pawn game,,,,,,
"Jepson, C","Brynell, S",½-½,2.5,"Jul 23, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Brynell, S","Heimisson, H",½-½,3.1,"Jul 23, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Nielsen, V","Hove, E",1-0,3.2,"Jul 23, 2020","B19 Caro-Kann, classical, 7...Nd7",,,,,,
"Brondt, N","Vinter Schou, U",1-0,3.3,"Jul 23, 2020","E41 Nimzo-Indian, 4.e3 c5",,,,,,
"Ingebretsen, J","Jepson, C",½-½,3.4,"Jul 23, 2020","B08 Pirc, classical (two knights) system",,,,,,
"Akdag, D","Vesterli, M",½-½,3.5,"Jul 23, 2020",A03 Bird's opening,,,,,,
"Heimisson, H","Ingebretsen, J",0-1,4.1,"Jul 24, 2020","A32 English, symmetrical variation",,,,,,
"Jepson, C","Brondt, N",½-½,4.2,"Jul 24, 2020","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Hove, E","Brynell, S",½-½,4.3,"Jul 24, 2020",D02 Queen's pawn game,,,,,,
"Akdag, D","Nielsen, V",½-½,4.4,"Jul 24, 2020",A03 Bird's opening,,,,,,
"Vesterli, M","Vinter Schou, U",1-0,4.5,"Jul 24, 2020",A56 Benoni defence,,,,,,
"Brondt, N","Heimisson, H",0-1,5.1,"Jul 24, 2020",A40 Queen's pawn,,,,,,
"Ingebretsen, J","Hove, E",0-1,5.2,"Jul 24, 2020",C00 French defence,,,,,,
"Vinter Schou, U","Jepson, C",½-½,5.3,"Jul 24, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Brynell, S","Akdag, D",1-0,5.4,"Jul 24, 2020",A43 Old Benoni defence,,,,,,
"Nielsen, V","Vesterli, M",1-0,5.5,"Jul 24, 2020",B33 Sicilian defence,,,,,,
"Heimisson, H","Vinter Schou, U",1-0,6.1,"Jul 25, 2020",A45 Queen's pawn game,,,,,,
"Hove, E","Brondt, N",½-½,6.2,"Jul 25, 2020",D02 Queen's pawn game,,,,,,
"Nielsen, V","Brynell, S",½-½,6.3,"Jul 25, 2020",C42 Petrov's defence,,,,,,
"Vesterli, M","Jepson, C",0-1,6.4,"Jul 25, 2020",D30 Queen's gambit declined,,,,,,
"Akdag, D","Ingebretsen, J",1-0,6.5,"Jul 25, 2020",A03 Bird's opening,,,,,,
"Jepson, C","Heimisson, H",½-½,7.1,"Jul 25, 2020","E51 Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5",,,,,,
"Vinter Schou, U","Hove, E",1-0,7.2,"Jul 25, 2020",B12 Caro-Kann defence,,,,,,
"Brondt, N","Akdag, D",1-0,7.3,"Jul 25, 2020","E63 King's Indian, fianchetto, Panno variation",,,,,,
"Ingebretsen, J","Nielsen, V",½-½,7.4,"Jul 25, 2020","A30 English, symmetrical variation",,,,,,
"Brynell, S","Vesterli, M",½-½,7.5,"Jul 25, 2020","E63 King's Indian, fianchetto, Panno variation",,,,,,
"Vesterli, M","Heimisson, H",0-1,8.1,"Jul 26, 2020",B07 Pirc defence,,,,,,
"Nielsen, V","Brondt, N",1-0,8.2,"Jul 26, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Hove, E","Jepson, C",½-½,8.3,"Jul 26, 2020",A80 Dutch,,,,,,
"Brynell, S","Ingebretsen, J",1-0,8.4,"Jul 26, 2020",E11 Bogo-Indian defence,,,,,,
"Akdag, D","Vinter Schou, U",½-½,8.5,"Jul 26, 2020",A02 Bird's opening,,,,,,
"Heimisson, H","Hove, E",1-0,9.1,"Jul 26, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Brondt, N","Brynell, S",0-1,9.2,"Jul 26, 2020","E44 Nimzo-Indian, Fischer variation, 5.Ne2",,,,,,
"Jepson, C","Akdag, D",1-0,9.3,"Jul 26, 2020",A04 Reti opening,,,,,,
"Ingebretsen, J","Vesterli, M",½-½,9.4,"Jul 26, 2020",A01 Nimzovich-Larsen attack,,,,,,
"Vinter Schou, U","Nielsen, V",0-1,9.5,"Jul 26, 2020","C49 Four knights, double Ruy Lopez",,,,,,
"Olsen, F","Haldorsen, B",½-½,1.1,"Jul 22, 2020",A40 Queen's pawn,,,,,,
"Rostgaard, T","Grandelius, N",0-1,1.2,"Jul 22, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Jacobsen, M","Hector, J",0-1,1.3,"Jul 22, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Sondergaard, J","Haubro, M",1-0,1.4,"Jul 22, 2020",A13 English opening,,,,,,
"Antonsen, M","Johansson, L",1-0,1.5,"Jul 22, 2020","A28 English, four knights system",,,,,,
"Grandelius, N","Jacobsen, M",1-0,2.1,"Jul 23, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Haubro, M","Antonsen, M",0-1,2.2,"Jul 23, 2020",C50 King's pawn game,,,,,,
"Hector, J","Sondergaard, J",½-½,2.3,"Jul 23, 2020",B32 Sicilian defence,,,,,,
"Haldorsen, B","Johansson, L",½-½,2.4,"Jul 23, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Olsen, F","Rostgaard, T",1-0,2.5,"Jul 23, 2020",E11 Bogo-Indian defence,,,,,,
"Johansson, L","Haubro, M",1-0,3.1,"Jul 23, 2020","E21 Nimzo-Indian, three knights variation",,,,,,
"Sondergaard, J","Grandelius, N",½-½,3.2,"Jul 23, 2020",D30 Queen's gambit declined,,,,,,
"Antonsen, M","Hector, J",0-1,3.3,"Jul 23, 2020",A21 English opening,,,,,,
"Rostgaard, T","Haldorsen, B",0-1,3.4,"Jul 23, 2020",B06 Robatsch (modern) defence,,,,,,
"Jacobsen, M","Olsen, F",1-0,3.5,"Jul 23, 2020",A13 English opening,,,,,,
"Hector, J","Johansson, L",½-½,4.1,"Jul 24, 2020",B33 Sicilian defence,,,,,,
"Grandelius, N","Antonsen, M",1-0,4.2,"Jul 24, 2020","D36 Queen's Gambit Declined, exchange, positional line, 6.Qc2",,,,,,
"Olsen, F","Sondergaard, J",0-1,4.3,"Jul 24, 2020","E47 Nimzo-Indian, 4.e3 O-O, 5.Bd3",,,,,,
"Haldorsen, B","Haubro, M",½-½,4.4,"Jul 24, 2020",A13 English opening,,,,,,
"Rostgaard, T","Jacobsen, M",0-1,4.5,"Jul 24, 2020",E10 Queen's pawn game,,,,,,
"Sondergaard, J","Rostgaard, T",½-½,5.1,"Jul 24, 2020","E71 King's Indian, Makagonov system (5.h3)",,,,,,
"Haubro, M","Hector, J",0-1,5.2,"Jul 24, 2020","C74 Ruy Lopez, modern Steinitz defence",,,,,,
"Johansson, L","Grandelius, N",½-½,5.3,"Jul 24, 2020","D32 Queen's Gambit Declined, Tarrasch defence",,,,,,
